input,target
generate siapa: Pagi itu Rina bangun lebih awal.,Siapa yang bangun pagi itu lebih awal?
generate kapan: Pagi itu Rina bangun lebih awal.,Kapan Rina bangun ?
generate siapa: Rina merapikan tempat tidur di kamarnya.,Siapa yang merapikan tempat tidur di kamar nya?
generate apa: Rina merapikan tempat tidur di kamarnya.,Apa yang Rina rapikan di kamar nya?
generate dimana: Rina merapikan tempat tidur di kamarnya.,Di mana Rina merapikan tempat tidur?
generate siapa: Ibu memanggil Rina dari dapur.,Siapa yang memanggil Rina dari dapur?
generate siapa: Ibu memanggil Rina dari dapur.,Siapa yang Ibu panggil dari dapur?
generate darimana: Ibu memanggil Rina dari dapur.,Dari mana Ibu memanggil Rina?
generate siapa: Rina berjalan ke dapur dengan cepat.,Siapa yang berjalan ke dapur dengan cepat?
generate kemana: Rina berjalan ke dapur dengan cepat.,Ke mana Rina berjalan ?
generate apa: Ibu menyiapkan sarapan nasi goreng.,Apa yang menyiapkan sarapan nasi goreng?
generate siapa: Rina membantu ibu menata meja makan.,Siapa yang membantu ibu?
generate apa: Rina membantu ibu menata meja makan.,Apa yang Rina bantu?
generate siapa: Ayah membaca koran di ruang tamu.,Siapa yang membaca koran di ruang tamu?
generate apa: Ayah membaca koran di ruang tamu.,Apa yang Ayah baca di ruang tamu?
generate dimana: Ayah membaca koran di ruang tamu.,Di mana Ayah membaca koran?
generate siapa: Adik bermain bola di halaman rumah.,Siapa yang bermain bola di halaman rumah?
generate apa: Adik bermain bola di halaman rumah.,Apa yang Adik main di halaman rumah?
generate dimana: Adik bermain bola di halaman rumah.,Di mana Adik bermain bola?
generate siapa: Rina mengambil piring dari lemari.,Siapa yang mengambil piring dari lemari?
generate apa: Rina mengambil piring dari lemari.,Apa yang Rina ambil dari lemari?
generate darimana: Rina mengambil piring dari lemari.,Dari mana Rina mengambil piring?
generate apa: Ibu menuangkan teh hangat ke gelas.,Apa yang menuangkan teh hangat ke gelas?
generate apa: Ibu menuangkan teh hangat ke gelas.,Apa yang Ibu tuangkan ke gelas?
generate kemana: Ibu menuangkan teh hangat ke gelas.,Ke mana Ibu menuangkan teh hangat?
generate siapa: Ayah memanggil semua anggota keluarga.,Siapa yang memanggil semua anggota keluarga?
generate siapa: Mereka duduk bersama di meja makan.,Siapa yang duduk bersama di meja makan?
generate siapa: Rina makan nasi goreng dengan lahap.,Siapa yang makan lahap nasi dengan lahap?
generate apa: Rina makan nasi goreng dengan lahap.,Apa yang Rina makan dengan lahap?
generate apa: Adik minum teh dengan hati-hati.,Apa yang minum teh dengan hati-hati?
generate apa: Adik minum teh dengan hati-hati.,Apa yang Adik minum dengan hati-hati?
generate siapa: Ayah bercerita tentang pekerjaan di kantor.,Siapa yang bercerita tentang pekerjaan di kantor?
generate siapa: Ibu mendengarkan cerita ayah dengan tenang.,Siapa yang mendengarkan cerita ayah dengan tenang?
generate apa: Ibu mendengarkan cerita ayah dengan tenang.,Apa yang Ibu dengarkan dengan tenang?
generate siapa: Rina bertanya tentang rencana hari ini.,Siapa yang bertanya tentang rencana hari ini?
generate siapa: Ayah menjawab pertanyaan Rina dengan jelas.,Siapa yang menjawab pertanyaan Rina dengan jelas?
generate siapa: Ayah menjawab pertanyaan Rina dengan jelas.,Siapa yang Ayah jawab dengan jelas?
generate siapa: Setelah makan mereka membersihkan meja.,Siapa yang membersihkan makan meja?
generate apa: Setelah makan mereka membersihkan meja.,Apa yang mereka bersihkan?
generate siapa: Rina mencuci piring di wastafel.,Siapa yang mencuci piring di wastafel?
generate apa: Rina mencuci piring di wastafel.,Apa yang Rina cuci di wastafel?
generate dimana: Rina mencuci piring di wastafel.,Di mana Rina mencuci piring?
generate apa: Ibu mengelap meja dengan kain bersih.,Apa yang mengelap meja dengan kain bersih?
generate apa: Ibu mengelap meja dengan kain bersih.,Apa yang Ibu kelap dengan kain bersih?
generate siapa: Ayah menyapu lantai ruang makan.,Siapa yang menyapu lantai ruang?
generate siapa: Adik mengumpulkan sendok ke dalam wadah.,Siapa yang mengumpulkan sendok ke dalam wadah?
