id_teks,id_kalimat,kalimat,subjek,predikat,objek,keterangan,pertanyaan,cosine_similarity
1,1,Pagi itu Rina bangun lebih awal.,Rina,bangun,,pagi itu lebih awal,Siapa yang bangun pagi itu lebih awal?,0.664
1,1,Pagi itu Rina bangun lebih awal.,Rina,bangun,,pagi itu lebih awal,Kapan Rina bangun ?,0.8075
1,2,Rina merapikan tempat tidur di kamarnya.,Rina,merapikan,tempat tidur,di kamar nya,Siapa yang merapikan tempat tidur di kamar nya?,0.5631
1,2,Rina merapikan tempat tidur di kamarnya.,Rina,merapikan,tempat tidur,di kamar nya,Apa yang Rina rapikan di kamar nya?,0.727
1,2,Rina merapikan tempat tidur di kamarnya.,Rina,merapikan,tempat tidur,di kamar nya,Di mana Rina merapikan tempat tidur?,0.7347
1,3,Ibu memanggil Rina dari dapur.,Ibu,memanggil,Rina,dari dapur,Siapa yang memanggil Rina dari dapur?,0.8768
1,3,Ibu memanggil Rina dari dapur.,Ibu,memanggil,Rina,dari dapur,Siapa yang Ibu panggil dari dapur?,0.5766
1,3,Ibu memanggil Rina dari dapur.,Ibu,memanggil,Rina,dari dapur,Dari mana Ibu memanggil Rina?,0.7595
1,4,Rina berjalan ke dapur dengan cepat.,Rina,berjalan,,ke dapur dengan cepat,Siapa yang berjalan ke dapur dengan cepat?,0.7289
1,4,Rina berjalan ke dapur dengan cepat.,Rina,berjalan,,ke dapur dengan cepat,Ke mana Rina berjalan ?,0.4996
1,5,Ibu menyiapkan sarapan nasi goreng.,Ibu,menyiapkan,sarapan nasi goreng,,Apa yang menyiapkan sarapan nasi goreng?,0.8752
1,5,Ibu menyiapkan sarapan nasi goreng.,Ibu,menyiapkan,sarapan nasi goreng,,Apa yang Ibu siapkan?,0.2127
1,6,Rina membantu ibu menata meja makan.,Rina,membantu,ibu,,Siapa yang membantu ibu?,0.541
1,6,Rina membantu ibu menata meja makan.,Rina,membantu,ibu,,Apa yang Rina bantu?,0.5218
1,7,Ayah membaca koran di ruang tamu.,Ayah,membaca,koran,di ruang tamu,Siapa yang membaca koran di ruang tamu?,0.8464
1,7,Ayah membaca koran di ruang tamu.,Ayah,membaca,koran,di ruang tamu,Apa yang Ayah baca di ruang tamu?,0.7345
1,7,Ayah membaca koran di ruang tamu.,Ayah,membaca,koran,di ruang tamu,Di mana Ayah membaca koran?,0.584
1,8,Adik bermain bola di halaman rumah.,Adik,bermain,bola,di halaman rumah,Siapa yang bermain bola di halaman rumah?,0.8107
1,8,Adik bermain bola di halaman rumah.,Adik,bermain,bola,di halaman rumah,Apa yang Adik main di halaman rumah?,0.7133
1,8,Adik bermain bola di halaman rumah.,Adik,bermain,bola,di halaman rumah,Di mana Adik bermain bola?,0.6547
1,9,Rina mengambil piring dari lemari.,Rina,mengambil,piring,dari lemari,Siapa yang mengambil piring dari lemari?,0.614
1,9,Rina mengambil piring dari lemari.,Rina,mengambil,piring,dari lemari,Apa yang Rina ambil dari lemari?,0.859
1,9,Rina mengambil piring dari lemari.,Rina,mengambil,piring,dari lemari,Dari mana Rina mengambil piring?,0.7103
1,10,Ibu menuangkan teh hangat ke gelas.,Ibu,menuangkan,teh hangat,ke gelas,Apa yang menuangkan teh hangat ke gelas?,0.8186
1,10,Ibu menuangkan teh hangat ke gelas.,Ibu,menuangkan,teh hangat,ke gelas,Apa yang Ibu tuangkan ke gelas?,0.5076
1,10,Ibu menuangkan teh hangat ke gelas.,Ibu,menuangkan,teh hangat,ke gelas,Ke mana Ibu menuangkan teh hangat?,0.704
1,11,Ayah memanggil semua anggota keluarga.,Ayah,memanggil,semua anggota keluarga,,Siapa yang memanggil semua anggota keluarga?,0.822
1,11,Ayah memanggil semua anggota keluarga.,Ayah,memanggil,semua anggota keluarga,,Apa yang Ayah panggil?,0.3002
1,12,Mereka duduk bersama di meja makan.,Mereka,duduk,,bersama di meja makan,Siapa yang duduk bersama di meja makan?,0.7707
1,12,Mereka duduk bersama di meja makan.,Mereka,duduk,,bersama di meja makan,Di mana Mereka duduk ?,0.2643
1,13,Rina makan nasi goreng dengan lahap.,Rina,makan lahap,nasi,dengan lahap,Siapa yang makan lahap nasi dengan lahap?,0.7301
1,13,Rina makan nasi goreng dengan lahap.,Rina,makan lahap,nasi,dengan lahap,Apa yang Rina makan dengan lahap?,0.562
