kalimat,tipe,pertanyaan
Hendra mulai penelitian skripsi pada bulan Januari.,Siapa,Siapa yang mulai penelitian skripsi pada bulan januari?
Hendra mulai penelitian skripsi pada bulan Januari.,Apa,Apa yang hendra mulai pada bulan januari?
Hendra mulai penelitian skripsi pada bulan Januari.,Kapan,Kapan hendra mulai penelitian skripsi?
Hendra mendatangi kampus setiap pagi.,Siapa,Siapa yang mendatangi kampus setiap pagi?
Hendra mendatangi kampus setiap pagi.,Apa,Apa yang hendra datangi setiap pagi?
Hendra mendatangi kampus setiap pagi.,Kapan,Kapan hendra mendatangi kampus?
Hendra meminjam buku referensi dari perpustakaan.,Siapa,Siapa yang meminjam buku referensi dari perpustakaan?
Hendra meminjam buku referensi dari perpustakaan.,Apa,Apa yang hendra pinjam dari perpustakaan?
Hendra meminjam buku referensi dari perpustakaan.,Dari mana,Dari mana hendra meminjam buku referensi?
Dia menemui dosen pembimbing pada hari Senin.,Siapa,Siapa yang menemui dosen pembimbing pada hari senin?
Dia menemui dosen pembimbing pada hari Senin.,Apa,Apa yang dia temui pada hari senin?
Dia menemui dosen pembimbing pada hari Senin.,Kapan,Kapan dia menemui dosen pembimbing?
Dosen pembimbing memberikan beberapa revisi dengan ramah.,Siapa,Siapa yang memberikan beberapa revisi dengan ramah?
Dosen pembimbing memberikan beberapa revisi dengan ramah.,Apa,Apa yang dosen pembimbing berikan dengan ramah?
Hendra menulis saran dosen di buku.,Siapa,Siapa yang menulis saran dosen di buku?
Hendra menulis saran dosen di buku.,Apa,Apa yang hendra tulis di buku?
Hendra menulis saran dosen di buku.,Di mana,Di mana hendra menulis saran dosen?
Hendra merevisi draf laporan kemarin.,Siapa,Siapa yang merevisi draf laporan kemarin?
Hendra merevisi draf laporan kemarin.,Apa,Apa yang hendra rapikan kemarin?
Hendra merevisi draf laporan kemarin.,Kapan,Kapan hendra merevisi draf laporan?
Dia mencari data tambahan di laboratorium.,Siapa,Siapa yang mencari data tambahan di laboratorium?
Dia mencari data tambahan di laboratorium.,Apa,Apa yang dia cari di laboratorium?
Dia mencari data tambahan di laboratorium.,Di mana,Di mana dia mencari data tambahan?
Hendra mengumpulkan sampel penelitian pada dua minggu ini.,Siapa,Siapa yang mengumpulkan sampel penelitian pada dua minggu ini?
Hendra mengumpulkan sampel penelitian pada dua minggu ini.,Apa,Apa yang hendra kumpulkan pada dua minggu ini?
Hendra mengumpulkan sampel penelitian pada dua minggu ini.,Kapan,Kapan hendra mengumpulkan sampel penelitian?
Hendra menganalisis angka statistik dengan teliti.,Siapa,Siapa yang menganalisis angka statistik dengan teliti?
Hendra menganalisis angka statistik dengan teliti.,Apa,Apa yang hendra analisis dengan teliti?
Hendra menyusun bab tiga pada bulan Maret.,Siapa,Siapa yang menyusun bab tiga pada bulan maret?
Hendra menyusun bab tiga pada bulan Maret.,Apa,Apa yang hendra susun pada bulan maret?
Hendra menyusun bab tiga pada bulan Maret.,Kapan,Kapan hendra menyusun bab tiga?
Hendra mengetik laporan akhir di kamar kos.,Siapa,Siapa yang mengetik laporan akhir di kamar kos?
Hendra mengetik laporan akhir di kamar kos.,Apa,Apa yang hendra ketik di kamar kos?
Hendra mengetik laporan akhir di kamar kos.,Di mana,Di mana hendra mengetik laporan akhir?
Dia mencetak dokumen skripsi di tempat fotokopi.,Siapa,Siapa yang mencetak dokumen skripsi di tempat fotokopi?
Dia mencetak dokumen skripsi di tempat fotokopi.,Apa,Apa yang dia cetak di tempat fotokopi?
Dia mencetak dokumen skripsi di tempat fotokopi.,Di mana,Di mana dia mencetak dokumen skripsi?
Hendra menyerahkan naskah tersebut pada hari Jumat.,Siapa,Siapa yang menyerahkan naskah tersebut pada hari jumat?
Hendra menyerahkan naskah tersebut pada hari Jumat.,Apa,Apa yang hendra serahkan pada hari jumat?
Hendra menyerahkan naskah tersebut pada hari Jumat.,Kapan,Kapan hendra menyerahkan naskah tersebut?
Dosen pembimbing menyetujui lembar persetujuan pada minggu berikutnya.,Siapa,Siapa yang menyetujui lembar persetujuan pada minggu berikutnya?
Dosen pembimbing menyetujui lembar persetujuan pada minggu berikutnya.,Apa,Apa yang dosen pembimbing persetujuan pada minggu berikutnya?
Dosen pembimbing menyetujui lembar persetujuan pada minggu berikutnya.,Kapan,Kapan dosen pembimbing menyetujui lembar persetujuan?
Hendra mendaftarkan ujian sidang di ruang fakultas.,Siapa,Siapa yang mendaftarkan ujian sidang di ruang fakultas?
Hendra mendaftarkan ujian sidang di ruang fakultas.,Apa,Apa yang hendra daftarkan di ruang fakultas?
Hendra mendaftarkan ujian sidang di ruang fakultas.,Di mana,Di mana hendra mendaftarkan ujian sidang?
Panitia kampus mengumumkan jadwal ujian pada awal April.,Siapa,Siapa yang mengumumkan jadwal ujian pada awal april?
Panitia kampus mengumumkan jadwal ujian pada awal April.,Apa,Apa yang panitia kampus umumkan pada awal april?
Hendra menyiapkan materi presentasi melalui laptop.,Siapa,Siapa yang menyiapkan materi presentasi melalui laptop?
Hendra menyiapkan materi presentasi melalui laptop.,Apa,Apa yang hendra siapkan melalui laptop?
Hendra melatih kemampuan bicara setiap sore.,Siapa,Siapa yang melatih kemampuan bicara setiap sore?
Hendra melatih kemampuan bicara setiap sore.,Apa,Apa yang hendra latih setiap sore?
Hendra melatih kemampuan bicara setiap sore.,Kapan,Kapan hendra melatih kemampuan bicara?
Hendra merasakan rasa gugup pada hari ujian.,Siapa,Siapa yang merasakan rasa gugup pada hari ujian?
Hendra merasakan rasa gugup pada hari ujian.,Apa,Apa yang hendra rasakan pada hari ujian?
Hendra merasakan rasa gugup pada hari ujian.,Kapan,Kapan hendra merasakan rasa gugup?
Hendra memakai kemeja putih ke kampus untuk sidang.,Siapa,Siapa yang memakai kemeja putih ke kampus untuk sidang?
Hendra memakai kemeja putih ke kampus untuk sidang.,Apa,Apa yang hendra pakai ke kampus untuk sidang?
Hendra memakai kemeja putih ke kampus untuk sidang.,Ke mana,Ke mana hendra memakai kemeja putih?
Hendra menjelaskan hasil penelitian di hadapan penguji.,Siapa,Siapa yang menjelaskan hasil penelitian di hadapan penguji?
Hendra menjelaskan hasil penelitian di hadapan penguji.,Apa,Apa yang hendra jelaskan di hadapan penguji?
