id_teks,id_kalimat,kalimat,kata,lemma,pos,head,deprel,id
1,1,Pagi itu Rina bangun lebih awal.,Pagi,pagi,NOUN,4,obl,1
1,1,Pagi itu Rina bangun lebih awal.,itu,itu,DET,1,det,2
1,1,Pagi itu Rina bangun lebih awal.,Rina,rina,PROPN,4,nsubj,3
1,1,Pagi itu Rina bangun lebih awal.,bangun,bangun,VERB,0,root,4
1,1,Pagi itu Rina bangun lebih awal.,lebih,lebih,ADV,6,advmod,5
1,1,Pagi itu Rina bangun lebih awal.,awal,awal,ADJ,4,amod,6
1,1,Pagi itu Rina bangun lebih awal.,.,.,PUNCT,4,punct,7
1,2,Rina merapikan tempat tidur di kamarnya.,Rina,rina,PROPN,2,nsubj,1
1,2,Rina merapikan tempat tidur di kamarnya.,merapikan,rapi,VERB,0,root,2
1,2,Rina merapikan tempat tidur di kamarnya.,tempat,tempat,NOUN,2,obj,3
1,2,Rina merapikan tempat tidur di kamarnya.,tidur,tidur,NOUN,3,compound,4
1,2,Rina merapikan tempat tidur di kamarnya.,di,di,ADP,6,case,5
1,2,Rina merapikan tempat tidur di kamarnya.,kamar,kamar,NOUN,3,nmod,6
1,2,Rina merapikan tempat tidur di kamarnya.,nya,dia,PRON,6,nmod:poss,7
1,2,Rina merapikan tempat tidur di kamarnya.,.,.,PUNCT,2,punct,8
1,3,Ibu memanggil Rina dari dapur.,Ibu,ibu,PROPN,2,nsubj,1
1,3,Ibu memanggil Rina dari dapur.,memanggil,panggil,VERB,0,root,2
1,3,Ibu memanggil Rina dari dapur.,Rina,rina,PROPN,2,obj,3
1,3,Ibu memanggil Rina dari dapur.,dari,dari,ADP,5,case,4
1,3,Ibu memanggil Rina dari dapur.,dapur,dapur,NOUN,2,obl,5
1,3,Ibu memanggil Rina dari dapur.,.,.,PUNCT,2,punct,6
1,4,Rina berjalan ke dapur dengan cepat.,Rina,rina,PROPN,2,nsubj,1
1,4,Rina berjalan ke dapur dengan cepat.,berjalan,jalan,VERB,0,root,2
1,4,Rina berjalan ke dapur dengan cepat.,ke,ke,ADP,4,case,3
1,4,Rina berjalan ke dapur dengan cepat.,dapur,dapur,NOUN,2,obl,4
1,4,Rina berjalan ke dapur dengan cepat.,dengan,dengan,ADP,6,case,5
1,4,Rina berjalan ke dapur dengan cepat.,cepat,cepat,ADJ,2,xcomp,6
1,4,Rina berjalan ke dapur dengan cepat.,.,.,PUNCT,2,punct,7
1,5,Ibu menyiapkan sarapan nasi goreng.,Ibu,ibu,NOUN,2,nsubj,1
1,5,Ibu menyiapkan sarapan nasi goreng.,menyiapkan,siap,VERB,0,root,2
1,5,Ibu menyiapkan sarapan nasi goreng.,sarapan,sarap,NOUN,2,obj,3
1,5,Ibu menyiapkan sarapan nasi goreng.,nasi,nasi,NOUN,3,compound,4
1,5,Ibu menyiapkan sarapan nasi goreng.,goreng,goreng,NOUN,4,compound,5
1,5,Ibu menyiapkan sarapan nasi goreng.,.,.,PUNCT,2,punct,6
1,6,Rina membantu ibu menata meja makan.,Rina,rina,PROPN,2,nsubj,1
1,6,Rina membantu ibu menata meja makan.,membantu,bantu,VERB,0,root,2
1,6,Rina membantu ibu menata meja makan.,ibu,ibu,NOUN,2,obj,3
1,6,Rina membantu ibu menata meja makan.,menata,tata,VERB,3,acl,4
1,6,Rina membantu ibu menata meja makan.,meja,meja,NOUN,4,obj,5
1,6,Rina membantu ibu menata meja makan.,makan,makan,VERB,5,amod,6
1,6,Rina membantu ibu menata meja makan.,.,.,PUNCT,2,punct,7
1,7,Ayah membaca koran di ruang tamu.,Ayah,ayah,PROPN,2,nsubj,1
1,7,Ayah membaca koran di ruang tamu.,membaca,baca,VERB,0,root,2
1,7,Ayah membaca koran di ruang tamu.,koran,koran,NOUN,2,obj,3
1,7,Ayah membaca koran di ruang tamu.,di,di,ADP,5,case,4
1,7,Ayah membaca koran di ruang tamu.,ruang,ruang,NOUN,2,obl,5
1,7,Ayah membaca koran di ruang tamu.,tamu,tamu,NOUN,5,compound,6
1,7,Ayah membaca koran di ruang tamu.,.,.,PUNCT,2,punct,7
1,8,Adik bermain bola di halaman rumah.,Adik,adik,PROPN,2,nsubj,1
1,8,Adik bermain bola di halaman rumah.,bermain,main,VERB,0,root,2
1,8,Adik bermain bola di halaman rumah.,bola,bola,NOUN,2,obj,3
1,8,Adik bermain bola di halaman rumah.,di,di,ADP,5,case,4
1,8,Adik bermain bola di halaman rumah.,halaman,halaman,NOUN,2,obl,5
1,8,Adik bermain bola di halaman rumah.,rumah,rumah,NOUN,5,compound,6
1,8,Adik bermain bola di halaman rumah.,.,.,PUNCT,2,punct,7
1,9,Rina mengambil piring dari lemari.,Rina,rina,PROPN,2,nsubj,1
1,9,Rina mengambil piring dari lemari.,mengambil,ambil,VERB,0,root,2
1,9,Rina mengambil piring dari lemari.,piring,piring,NOUN,2,obj,3
1,9,Rina mengambil piring dari lemari.,dari,dari,ADP,5,case,4
1,9,Rina mengambil piring dari lemari.,lemari,lemari,NOUN,3,nmod,5
1,9,Rina mengambil piring dari lemari.,.,.,PUNCT,2,punct,6
1,10,Ibu menuangkan teh hangat ke gelas.,Ibu,ibu,NOUN,2,nsubj,1
1,10,Ibu menuangkan teh hangat ke gelas.,menuangkan,tuang,VERB,0,root,2
1,10,Ibu menuangkan teh hangat ke gelas.,teh,teh,NOUN,2,obj,3
1,10,Ibu menuangkan teh hangat ke gelas.,hangat,hangat,ADJ,3,amod,4
1,10,Ibu menuangkan teh hangat ke gelas.,ke,ke,ADP,6,case,5
1,10,Ibu menuangkan teh hangat ke gelas.,gelas,gelas,NOUN,2,obl,6
1,10,Ibu menuangkan teh hangat ke gelas.,.,.,PUNCT,2,punct,7
1,11,Ayah memanggil semua anggota keluarga.,Ayah,ayah,PROPN,2,nsubj,1
1,11,Ayah memanggil semua anggota keluarga.,memanggil,panggil,VERB,0,root,2
1,11,Ayah memanggil semua anggota keluarga.,semua,semua,DET,4,det,3
1,11,Ayah memanggil semua anggota keluarga.,anggota,anggota,NOUN,2,obj,4
1,11,Ayah memanggil semua anggota keluarga.,keluarga,keluarga,NOUN,4,compound,5
1,11,Ayah memanggil semua anggota keluarga.,.,.,PUNCT,2,punct,6
1,12,Mereka duduk bersama di meja makan.,Mereka,mereka,PRON,2,nsubj,1
1,12,Mereka duduk bersama di meja makan.,duduk,duduk,VERB,0,root,2
1,12,Mereka duduk bersama di meja makan.,bersama,bersama,ADP,5,case,3
1,12,Mereka duduk bersama di meja makan.,di,di,ADP,5,case,4
1,12,Mereka duduk bersama di meja makan.,meja,meja,NOUN,2,obl,5
1,12,Mereka duduk bersama di meja makan.,makan,makan,VERB,5,acl,6
1,12,Mereka duduk bersama di meja makan.,.,.,PUNCT,2,punct,7
1,13,Rina makan nasi goreng dengan lahap.,Rina,rina,PROPN,2,nsubj,1
1,13,Rina makan nasi goreng dengan lahap.,makan,makan,VERB,0,root,2
1,13,Rina makan nasi goreng dengan lahap.,nasi,nasi,NOUN,2,obj,3
1,13,Rina makan nasi goreng dengan lahap.,goreng,goreng,VERB,3,acl,4
1,13,Rina makan nasi goreng dengan lahap.,dengan,dengan,SCONJ,6,mark,5
1,13,Rina makan nasi goreng dengan lahap.,lahap,lahap,VERB,2,xcomp,6
1,13,Rina makan nasi goreng dengan lahap.,.,.,PUNCT,2,punct,7
1,14,Adik minum teh dengan hati-hati.,Adik,adik,NOUN,2,nsubj,1
1,14,Adik minum teh dengan hati-hati.,minum,minum,VERB,0,root,2
1,14,Adik minum teh dengan hati-hati.,teh,teh,NOUN,2,obj,3
1,14,Adik minum teh dengan hati-hati.,dengan,dengan,SCONJ,2,mark,4
1,14,Adik minum teh dengan hati-hati.,hati-hati,hati,ADJ,2,xcomp,5
1,14,Adik minum teh dengan hati-hati.,.,.,PUNCT,2,punct,6
1,15,Ayah bercerita tentang pekerjaan di kantor.,Ayah,ayah,PROPN,2,nsubj,1
1,15,Ayah bercerita tentang pekerjaan di kantor.,bercerita,cerita,VERB,0,root,2
1,15,Ayah bercerita tentang pekerjaan di kantor.,tentang,tentang,ADP,4,case,3
1,15,Ayah bercerita tentang pekerjaan di kantor.,pekerjaan,pekerja,NOUN,2,obl,4
1,15,Ayah bercerita tentang pekerjaan di kantor.,di,di,ADP,6,case,5
1,15,Ayah bercerita tentang pekerjaan di kantor.,kantor,kantor,NOUN,4,nmod,6
1,15,Ayah bercerita tentang pekerjaan di kantor.,.,.,PUNCT,2,punct,7
1,16,Ibu mendengarkan cerita ayah dengan tenang.,Ibu,ibu,PROPN,2,nsubj,1
1,16,Ibu mendengarkan cerita ayah dengan tenang.,mendengarkan,dengar,VERB,0,root,2
1,16,Ibu mendengarkan cerita ayah dengan tenang.,cerita,cerita,NOUN,2,obj,3
1,16,Ibu mendengarkan cerita ayah dengan tenang.,ayah,ayah,NOUN,3,compound,4
1,16,Ibu mendengarkan cerita ayah dengan tenang.,dengan,dengan,SCONJ,2,mark,5
1,16,Ibu mendengarkan cerita ayah dengan tenang.,tenang,tenang,ADJ,2,xcomp,6
1,16,Ibu mendengarkan cerita ayah dengan tenang.,.,.,PUNCT,2,punct,7
1,17,Rina bertanya tentang rencana hari ini.,Rina,rina,PROPN,2,nsubj,1
1,17,Rina bertanya tentang rencana hari ini.,bertanya,tanya,VERB,0,root,2
1,17,Rina bertanya tentang rencana hari ini.,tentang,tentang,ADP,4,case,3
1,17,Rina bertanya tentang rencana hari ini.,rencana,rencana,NOUN,2,obl,4
1,17,Rina bertanya tentang rencana hari ini.,hari,hari,NOUN,4,compound,5
1,17,Rina bertanya tentang rencana hari ini.,ini,ini,DET,5,det,6
1,17,Rina bertanya tentang rencana hari ini.,.,.,PUNCT,2,punct,7
1,18,Ayah menjawab pertanyaan Rina dengan jelas.,Ayah,ayah,PROPN,2,nsubj,1
1,18,Ayah menjawab pertanyaan Rina dengan jelas.,menjawab,jawab,VERB,0,root,2
1,18,Ayah menjawab pertanyaan Rina dengan jelas.,pertanyaan,tanya,NOUN,2,obj,3
1,18,Ayah menjawab pertanyaan Rina dengan jelas.,Rina,rina,PROPN,3,nmod,4
1,18,Ayah menjawab pertanyaan Rina dengan jelas.,dengan,dengan,SCONJ,2,mark,5
